two dog wrestle hug	 | no dog wrestling hugging	 | CONTRADICTION	 | NEUTRAL
man shirt dyed purple look man black shirt face look funny	 | man pose watch another man	 | ENTAILMENT	 | NEUTRAL
man shirt dyed purple look man black shirt funny face	 | man pose watch another man	 | ENTAILMENT	 | NEUTRAL
man boy stand bottom stair , outdoors	 | man boy stand top stair , outdoors	 | CONTRADICTION	 | ENTAILMENT
woman wear sunglass large size hold newspaper hand	 | newspaper feature woman large sized hand hold sunglass wear coat	 | NEUTRAL	 | ENTAILMENT
old woman shirtless clumsily drop two newspaper	 | old woman wear rise pattern shirt clumsily carry two newspaper	 | CONTRADICTION	 | NEUTRAL
snowboarder n't leap white snow	 | snowboarder leap white snow	 | CONTRADICTION	 | ENTAILMENT
person practice snowboard fall air	 | snowboarder leap white snow	 | NEUTRAL	 | ENTAILMENT
person n't rid motorbike sandy track	 | person rid motorbike sandy track	 | CONTRADICTION	 | ENTAILMENT
young girl pink shirt peacefully lie grass	 | pink shirt white write wear girl lie grass	 | NEUTRAL	 | ENTAILMENT
young girl pink shirt peacefully lie grass	 | girl wear pink shirt white write lie grass	 | NEUTRAL	 | ENTAILMENT
dog , large gray , difficultly carry ball mouth run across grass	 | dog , large gray , carry ball mouth run across grass	 | ENTAILMENT	 | NEUTRAL
man open package contain headphone	 | man open package n't contain headphone	 | CONTRADICTION	 | ENTAILMENT
turtle follow fish	 | turtle n't follow fish	 | CONTRADICTION	 | ENTAILMENT
turtle follow fish	 | fish follow turtle	 | CONTRADICTION	 | ENTAILMENT
woman dip prawn batter	 | woman dip shrimp batter	 | ENTAILMENT	 | NEUTRAL
woman remove ingredient bowl	 | woman add ingredient bowl	 | CONTRADICTION	 | ENTAILMENT
woman crack egg bowl	 | woman crack egg outside bowl	 | NEUTRAL	 | ENTAILMENT
man woman walk together wooded area	 | man woman walk together wood	 | ENTAILMENT	 | NEUTRAL
man speak stage	 | man speak stage	 | NEUTRAL	 | ENTAILMENT
small monkey walk water	 | monkey n't walk water	 | CONTRADICTION	 | ENTAILMENT
monkey wad marsh	 | monkey n't walk water	 | CONTRADICTION	 | NEUTRAL
woman dance sing rain	 | woman perform rain	 | ENTAILMENT	 | NEUTRAL
woman dance sing rain	 | woman dance sing alone	 | NEUTRAL	 | ENTAILMENT
band perform stage	 | band play stage	 | ENTAILMENT	 | NEUTRAL
band perform onstage	 | band play onstage	 | ENTAILMENT	 | NEUTRAL
band play onstage	 | no band play	 | CONTRADICTION	 | NEUTRAL
band perform stage	 | no band play	 | CONTRADICTION	 | NEUTRAL
band not perform stage	 | band play onstage	 | CONTRADICTION	 | ENTAILMENT
man sit	 | man dance	 | CONTRADICTION	 | NEUTRAL
man make music flute	 | man play flute	 | ENTAILMENT	 | NEUTRAL
man play baseball flute	 | man play flute	 | NEUTRAL	 | ENTAILMENT
man play soccer	 | man play game ball	 | ENTAILMENT	 | NEUTRAL
man play soccer	 | soccer man play piano	 | NEUTRAL	 | ENTAILMENT
boy spank man plastic sword	 | man spank boy plastic sword	 | NEUTRAL	 | ENTAILMENT
no man hit	 | boy whack man sword	 | CONTRADICTION	 | NEUTRAL
boy whack man sword	 | man whack boy sword	 | NEUTRAL	 | ENTAILMENT
boy spank man plastic sword	 | man hit kid weapon	 | ENTAILMENT	 | NEUTRAL
no man hit	 | boy spank man plastic sword	 | CONTRADICTION	 | NEUTRAL
boy spank man plastic sword	 | boy whack man sword	 | ENTAILMENT	 | NEUTRAL
lady n't measure ankle another woman	 | lady measure ankle another woman	 | CONTRADICTION	 | ENTAILMENT
young lady measure ankle another woman	 | woman measure woman	 | ENTAILMENT	 | NEUTRAL
lady measure ankle another woman	 | woman measure woman	 | ENTAILMENT	 | NEUTRAL
man talk phone	 | man make phone call	 | ENTAILMENT	 | NEUTRAL
man hang phone	 | man make call cell phone	 | CONTRADICTION	 | NEUTRAL
animal roll side side garden	 | dog roll side side	 | NEUTRAL	 | ENTAILMENT
cute puppy repeatedly roll side side back	 | dog roll side side	 | ENTAILMENT	 | NEUTRAL
no dog roll side side	 | puppy repeatedly roll side side back	 | CONTRADICTION	 | NEUTRAL
puppy repeatedly roll side side back	 | dog roll side side	 | ENTAILMENT	 | NEUTRAL
machine shave end pencil	 | pencil sharpen	 | ENTAILMENT	 | NEUTRAL
machine sharpen pencil	 | machine shave end pencil	 | ENTAILMENT	 | NEUTRAL
person rinse steak water	 | man not rinse large steak	 | CONTRADICTION	 | NEUTRAL
man cry	 | man scream	 | NEUTRAL	 | ENTAILMENT
woman brush hand	 | woman brush foot	 | NEUTRAL	 | ENTAILMENT
man exercise	 | man physical activity	 | ENTAILMENT	 | NEUTRAL
three young men furiously run , jumping kicking near vending machine	 | three young men run , jumping kicking near vending machine	 | ENTAILMENT	 | NEUTRAL
three boy karate uniform spar	 | three boy karate costume fight	 | ENTAILMENT	 | NEUTRAL
woman cut broccoli	 | woman slice vegetable	 | ENTAILMENT	 | NEUTRAL
musician play two keyboard	 | man play two keyboard	 | NEUTRAL	 | ENTAILMENT
mime perform stage	 | men perform stage	 | NEUTRAL	 | ENTAILMENT
man carry tree	 | man carry plant	 | ENTAILMENT	 | NEUTRAL
tree pick man	 | man carry tree	 | ENTAILMENT	 | NEUTRAL
man pick tree	 | man carry tree	 | ENTAILMENT	 | NEUTRAL
man play guitar	 | man play guitar owner	 | NEUTRAL	 | ENTAILMENT
badger n't burrow hole	 | badger burrow hole	 | CONTRADICTION	 | ENTAILMENT
badger burrow hole	 | no badger shrewdly dig earth	 | CONTRADICTION	 | NEUTRAL
chef carefully dry oil pan	 | chef carefully pour oil pan	 | CONTRADICTION	 | ENTAILMENT
chef carefully pour oil pan	 | liquid pour pan man	 | ENTAILMENT	 | NEUTRAL
man need stenograph operate	 | man operate stenograph	 | NEUTRAL	 | ENTAILMENT
man type machine use stenography	 | man n't operate stenograph	 | CONTRADICTION	 | NEUTRAL
man n't cautiously feed mouse snake	 | man cautiously feed mouse snake	 | CONTRADICTION	 | ENTAILMENT
man n't cautiously feed mouse snake	 | snake feed mouse man	 | NEUTRAL	 | ENTAILMENT
poor man feed snake mouse	 | man cautiously feed mouse snake	 | NEUTRAL	 | ENTAILMENT
guy cheerfully play footbag	 | man n't play piano	 | ENTAILMENT	 | NEUTRAL
car riskily jump girl	 | girl recklessly jump onto car	 | NEUTRAL	 | ENTAILMENT
girl jumping car	 | one girl jump car	 | ENTAILMENT	 | NEUTRAL
potato peel woman	 | woman throw potato peel	 | NEUTRAL	 | ENTAILMENT
boat 's sail reflect peaceful water	 | boat sail peacefully water	 | ENTAILMENT	 | NEUTRAL
man n't pour oil tomato .	 | man pour oil tomato	 | CONTRADICTION	 | ENTAILMENT
man pour oil tomato	 | somebody pour tomato oil man	 | NEUTRAL	 | ENTAILMENT
milk kitten 's drink	 | kitten drink fresh milk	 | NEUTRAL	 | ENTAILMENT
milk kitten 's drink	 | milk drink cat	 | NEUTRAL	 | ENTAILMENT
kitten drink fresh milk	 | cat drink milk	 | NEUTRAL	 | ENTAILMENT
man empty container make plastic	 | man fill container make plastic	 | CONTRADICTION	 | NEUTRAL
no man slice onion	 | onion cut man	 | CONTRADICTION	 | ENTAILMENT
elephant ride woman	 | elephant n't ride woman	 | CONTRADICTION	 | ENTAILMENT
elephant ride woman	 | elephant ride woman	 | NEUTRAL	 | ENTAILMENT
someone feed animal	 | someone give food animal	 | ENTAILMENT	 | NEUTRAL
someone give food animal	 | nobody feed animal	 | CONTRADICTION	 | NEUTRAL
piano n't play anyone	 | piano play someone	 | CONTRADICTION	 | NEUTRAL
man push button microwave	 | man push toward button microwave	 | NEUTRAL	 | ENTAILMENT
one man turn microwave	 | one man power microwave	 | ENTAILMENT	 | NEUTRAL
man push button microwave	 | one man turn microwave	 | NEUTRAL	 | ENTAILMENT
flute play lovely way girl	 | one woman play flute	 | ENTAILMENT	 | NEUTRAL
play happy boy play piano	 | boy happily play piano	 | NEUTRAL	 | ENTAILMENT
piano play man	 | piano n't play man	 | CONTRADICTION	 | ENTAILMENT
cheetah breathlessly chase prey across field	 | cheetah quickly run behind prey .	 | ENTAILMENT	 | NEUTRAL
cheetah chase prey across field	 | cheetah quickly run behind prey .	 | ENTAILMENT	 | NEUTRAL
no lion walk	 | lion slowly walk	 | CONTRADICTION	 | NEUTRAL
lion pace tiredly pen	 | no lion walk	 | CONTRADICTION	 | NEUTRAL
flute play man	 | flute n't play man	 | CONTRADICTION	 | ENTAILMENT
girl cut butter two piece	 | girl melt two piece butter together	 | NEUTRAL	 | ENTAILMENT
man n't smear butter bread	 | man spread butter piece bread big	 | CONTRADICTION	 | NEUTRAL
parrot talk microphone	 | parrot silent front microphone	 | CONTRADICTION	 | NEUTRAL
microphone front talk parrot mute	 | parrot speak	 | ENTAILMENT	 | NEUTRAL
person sing play guitar	 | one man passionately play guitar	 | NEUTRAL	 | ENTAILMENT
man passionately play guitar	 | no person sing play guitar	 | CONTRADICTION	 | NEUTRAL
animal water	 | animal play water	 | NEUTRAL	 | ENTAILMENT
two people play ping pong	 | ping pong player meet two people	 | NEUTRAL	 | ENTAILMENT
window clean man	 | man window time clean	 | NEUTRAL	 | ENTAILMENT
man drive car	 | man n't drive car	 | CONTRADICTION	 | ENTAILMENT
chimp angrily kick target	 | chimp miss target	 | CONTRADICTION	 | NEUTRAL
woman n't pour oil skillet	 | woman pour oil skillet	 | CONTRADICTION	 | ENTAILMENT
kitten n't eagerly drink milk bowl	 | kitten eagerly drink milk bowl	 | CONTRADICTION	 | ENTAILMENT
woman play guitar , acoustic , sing	 | woman n't play guitar , acoustic , sing	 | CONTRADICTION	 | ENTAILMENT
person play guitar singing	 | woman n't play guitar , acoustic , sing	 | NEUTRAL	 | ENTAILMENT
horse ride man	 | man rid animal	 | ENTAILMENT	 | NEUTRAL
man ride horse	 | horse ride man	 | NEUTRAL	 | ENTAILMENT
guitar sell lady	 | guitar play lady	 | NEUTRAL	 | ENTAILMENT
person n't practice guitar	 | person practice guitar	 | CONTRADICTION	 | ENTAILMENT
practice person n't like guitar	 | person practice guitar	 | NEUTRAL	 | ENTAILMENT
guitar play girl	 | person practice guitar	 | ENTAILMENT	 | NEUTRAL
lady cut meat	 | meat cut piece woman	 | ENTAILMENT	 | NEUTRAL
boy teen n't talk girl webcam	 | boy teen talk girl webcam	 | CONTRADICTION	 | ENTAILMENT
person strongly whisk egg bowl	 | strong person leave whisk bowl near egg	 | NEUTRAL	 | ENTAILMENT
man eat carrot slice machine	 | man slice carrot machine	 | NEUTRAL	 | ENTAILMENT
cat lick milk saucer	 | lick milk sauce give cat	 | NEUTRAL	 | ENTAILMENT
potato peel fall woman	 | woman peel potato	 | NEUTRAL	 | ENTAILMENT
picture man take near lake	 | man take picture lake	 | NEUTRAL	 | ENTAILMENT
woman sew machine	 | woman use sewing machine	 | ENTAILMENT	 | NEUTRAL
woman crack egg bowl	 | woman place bowl crack near egg	 | NEUTRAL	 | ENTAILMENT
men play cricket	 | people not play cricket	 | CONTRADICTION	 | ENTAILMENT
man slice garlic put away bread	 | man put garlic bread slice	 | NEUTRAL	 | ENTAILMENT
two kid play swimming pool crocodile float green	 | two kid push inflatable crocodile pool	 | ENTAILMENT	 | NEUTRAL
two kid push inflatable crocodile pool	 | two kid play swimming pool green color crocodile float	 | ENTAILMENT	 | NEUTRAL
someone fall horse	 | someone horse	 | NEUTRAL	 | ENTAILMENT
man abruptly knock horse	 | someone fall horse	 | ENTAILMENT	 | NEUTRAL
woman not add sugar meat	 | woman add spice meat	 | NEUTRAL	 | CONTRADICTION
woman add spice meat	 | woman add sugar meat	 | NEUTRAL	 | ENTAILMENT
woman add sugar meat	 | no woman add spice meat	 | NEUTRAL	 | CONTRADICTION
dog close food	 | dog bite	 | NEUTRAL	 | ENTAILMENT
cat play watermelon	 | cat n't play watermelon	 | CONTRADICTION	 | ENTAILMENT
teenager play guitar	 | boy play guitar	 | NEUTRAL	 | CONTRADICTION
no boy play guitar	 | kid play guitar	 | NEUTRAL	 | CONTRADICTION
woman wakeboarding lake	 | woman watch lake	 | NEUTRAL	 | ENTAILMENT
man hammer nail camera	 | someone nail camera lens loud bang	 | NEUTRAL	 | ENTAILMENT
person near onion cut	 | person cut onion	 | NEUTRAL	 | ENTAILMENT
man pour plate cheese shred pot sauce	 | lady add cheese sauce	 | ENTAILMENT	 | NEUTRAL
person burn camera blow torch	 | person set fire camera	 | ENTAILMENT	 | NEUTRAL
man n't play acoustic guitar	 | man play acoustic guitar	 | CONTRADICTION	 | ENTAILMENT
person piece together onion	 | person slice carrot piece	 | NEUTRAL	 | ENTAILMENT
person carefully slice potato	 | man slice potato	 | NEUTRAL	 | ENTAILMENT
man cook slice potato	 | man slice potato	 | NEUTRAL	 | ENTAILMENT
somebody cut tomato	 | lady slice tomato	 | ENTAILMENT	 | NEUTRAL
runner compete race	 | runner not take part race	 | CONTRADICTION	 | NEUTRAL
runner race impetuously around track	 | runner compete race	 | ENTAILMENT	 | NEUTRAL
runner race around track	 | runner compete race	 | ENTAILMENT	 | NEUTRAL
man keyboard play nose	 | man play piano nose	 | NEUTRAL	 | ENTAILMENT
baby rhino follow adult rhino	 | baby adult follow rhino	 | NEUTRAL	 | ENTAILMENT
rhino , youngling , walk around pen mother	 | baby rhino walk around pen mother	 | ENTAILMENT	 | NEUTRAL
baby rhino walk around pen mother	 | mother give baby pen walk rhino	 | NEUTRAL	 | ENTAILMENT
baby rhino follow adult rhino	 | rhino , youngling , walk around pen mother	 | ENTAILMENT	 | NEUTRAL
man rid motorcycle	 | man get motorcycle	 | NEUTRAL	 | CONTRADICTION
no man rid motorcycle town	 | man rid motorcycle	 | NEUTRAL	 | CONTRADICTION
man play trumpet	 | man put trumpet away	 | NEUTRAL	 | CONTRADICTION
man speak	 | man silent	 | CONTRADICTION	 | NEUTRAL
woman dance cage	 | lady dance	 | ENTAILMENT	 | NEUTRAL
people rid paddle raft	 | nobody float raft	 | CONTRADICTION	 | NEUTRAL
cat eagerly eating corn cob	 | cat eat corn	 | ENTAILMENT	 | NEUTRAL
person quickly slice vegetable	 | someone slice tomato	 | NEUTRAL	 | ENTAILMENT
someone slice tomato	 | person n't slice vegetable	 | NEUTRAL	 | ENTAILMENT
little girl play grand piano stage	 | little girl play piano , big , stage	 | ENTAILMENT	 | CONTRADICTION
little girl play piano , big , stage	 | little girl play piano	 | ENTAILMENT	 | CONTRADICTION
man play guitar	 | someone strum guitar	 | ENTAILMENT	 | NEUTRAL
no man play bamboo flute	 | man play flute	 | NEUTRAL	 | CONTRADICTION
no person cut mushroom	 | person cut mushroom knife	 | CONTRADICTION	 | NEUTRAL
tiger aimlessly walk around	 | tiger walk around cage	 | NEUTRAL	 | ENTAILMENT
monkey brush dog	 | bull dog brush monkey	 | NEUTRAL	 | ENTAILMENT
monkey brush bull dog	 | no monkey brush dog	 | CONTRADICTION	 | NEUTRAL
two boy play video game	 | couple boy play video game	 | ENTAILMENT	 | NEUTRAL
lady break egg mixer	 | lady crack egg mixer	 | ENTAILMENT	 | NEUTRAL
ferret climb shelf	 | ferret climb shelf	 | NEUTRAL	 | ENTAILMENT
